x,y
1,0.52877867
2,0.02222300
3,0.01152028
4,0.00678455
5,0.00426860
6,0.00307908
7,0.00256410
8,0.00233793
9,0.00223059
10,0.00217496
11,0.00214495
12,0.00213018
13,0.00212635
14,0.00213143
15,0.00214409
16,0.00216317
17,0.00218745
18,0.00221567
19,0.00224658
20,0.00227897
21,0.00231177
22,0.00234402
23,0.00237495
24,0.00240394
25,0.00243052
26,0.00245439
27,0.00247537
28,0.00249337
29,0.00250841
30,0.00252059
31,0.00253004
32,0.00253696
33,0.00254154
34,0.00254401
35,0.00254461
36,0.00254356
37,0.00254109
38,0.00253741
39,0.00253271
40,0.00252720
41,0.00252103
42,0.00251435
43,0.00250731
44,0.00250002
45,0.00249258
46,0.00248509
47,0.00247762
48,0.00247023
49,0.00246299
50,0.00245593
