x,y
1,0.73745811
2,0.24103607
3,0.17518993
4,0.12601893
5,0.08742661
6,0.06185067
7,0.04654067
8,0.03748074
9,0.03179469
10,0.02790919
11,0.02510176
12,0.02296776
13,0.02127748
14,0.01989973
15,0.01875735
16,0.01777337
17,0.01697234
18,0.01630952
19,0.01575822
20,0.01530112
21,0.01492406
22,0.01461446
23,0.01436126
24,0.01392128
25,0.01392907
26,0.01383854
27,0.01373716
28,0.01364799
29,0.01357856
30,0.01330411
31,0.01327559
32,0.01326402
33,0.01324494
34,0.01322245
35,0.01320271
36,0.01318667
37,0.01317362
38,0.01316297
39,0.01315427
40,0.01314719
41,0.01314144
42,0.01313677
43,0.01313298
44,0.01312992
45,0.01312745
46,0.01312546
47,0.01312386
48,0.01312258
49,0.01312156
50,0.01312074
