x y
1.04 21.00
2.46 21.13
3.89 21.30
5.31 21.30
6.74 21.40
8.17 21.35
9.59 21.27
11.02 21.19
12.44 21.35
13.87 21.35
15.30 21.32
16.72 21.11
18.15 21.24
19.57 21.36
21.00 21.32
22.42 21.08
23.85 21.14
25.28 21.14
26.70 21.12
28.13 21.07
29.55 21.05
30.98 21.01
29.55 20.95
28.13 20.93
26.70 20.88
25.28 20.86
23.85 20.86
22.42 20.92
21.00 20.68
19.57 20.64
18.15 20.76
16.72 20.89
15.30 20.68
13.87 20.65
12.44 20.65
11.02 20.81
9.59 20.73
8.17 20.65
6.74 20.60
5.31 20.70
3.89 20.70
2.46 20.87
1.04 21.00
