x y
-9.93 32.00
-8.73 32.00
-7.53 32.00
-6.33 32.00
-5.12 32.00
-3.92 32.01
-2.72 32.01
-1.52 32.03
-0.32 32.04
0.88 32.06
2.09 32.09
3.29 32.14
4.49 32.24
5.69 32.25
6.89 32.38
8.10 32.40
9.30 32.29
10.50 32.17
11.70 32.11
12.90 32.07
14.10 32.05
15.31 32.00
14.10 31.95
12.90 31.93
11.70 31.89
10.50 31.83
9.30 31.71
8.10 31.60
6.89 31.62
5.69 31.75
4.49 31.76
3.29 31.86
2.09 31.91
0.88 31.94
-0.32 31.96
-1.52 31.97
-2.72 31.99
-3.92 31.99
-5.12 32.00
-6.33 32.00
-7.53 32.00
-8.73 32.00
-9.93 32.00
