x y
-12.12 26.00
-10.56 26.00
-9.01 26.00
-7.46 26.00
-5.90 26.00
-4.35 26.01
-2.79 26.01
-1.24 26.03
0.31 26.04
1.87 26.03
3.42 26.08
4.97 26.17
6.53 26.20
8.08 26.25
9.63 26.32
11.19 26.40
12.74 26.33
14.29 26.24
15.85 26.21
17.40 26.11
18.96 26.08
20.51 26.00
18.96 25.92
17.40 25.89
15.85 25.79
14.29 25.76
12.74 25.67
11.19 25.60
9.63 25.68
8.08 25.75
6.53 25.80
4.97 25.83
3.42 25.92
1.87 25.97
0.31 25.96
-1.24 25.97
-2.79 25.99
-4.35 25.99
-5.90 26.00
-7.46 26.00
-9.01 26.00
-10.56 26.00
-12.12 26.00
