x y
3.16 28.00
4.59 28.10
6.03 28.24
7.46 28.19
8.90 28.35
10.33 28.40
11.76 28.22
13.20 28.31
14.63 28.25
16.06 28.23
17.50 28.11
18.93 28.12
20.37 28.22
21.80 28.12
23.23 28.03
24.67 28.10
26.10 28.09
27.53 28.11
28.97 28.03
30.40 28.01
31.83 28.06
33.27 28.00
31.83 27.94
30.40 27.99
28.97 27.97
27.53 27.89
26.10 27.91
24.67 27.90
23.23 27.97
21.80 27.88
20.37 27.78
18.93 27.88
17.50 27.89
16.06 27.77
14.63 27.75
13.20 27.69
11.76 27.78
10.33 27.60
8.90 27.65
7.46 27.81
6.03 27.76
4.59 27.90
3.16 28.00
