x y
-11.65 20.00
-9.76 20.00
-7.87 20.00
-5.97 20.00
-4.08 20.00
-2.19 20.00
-0.30 20.00
1.59 20.01
3.48 20.01
5.37 20.00
7.26 20.00
9.16 20.01
11.05 20.08
12.94 20.25
14.83 20.33
16.72 20.35
18.61 20.40
20.50 20.28
22.39 20.07
24.29 20.02
26.18 20.00
28.07 20.00
26.18 20.00
24.29 19.98
22.39 19.93
20.50 19.72
18.61 19.60
16.72 19.65
14.83 19.67
12.94 19.75
11.05 19.92
9.16 19.99
7.26 20.00
5.37 20.00
3.48 19.99
1.59 19.99
-0.30 20.00
-2.19 20.00
-4.08 20.00
-5.97 20.00
-7.87 20.00
-9.76 20.00
-11.65 20.00
